gender,state,city,county,amount,plan,event_type,daystoresolve,event_date_gap,age,service
F,Mississippi,Meadville,Franklin,1765.0,"{'1_Gbps', '300_Mbps'}","['ticket', 'order']",8.0,519,34,3
F,Texas,Slaton,Lubbock,1060.0,"{'200_Mbps', '300_Mbps', '25_Mbps'}",['order'],0.0,510,49,2
M,Arkansas,Mc Crory,Woodruff,525.0,{'200_Mbps'},"['ticket', 'order']",50.0,300,24,1
M,Georgia,Norman Park,Colquitt,1500.0,"{'1_Gbps', '500_Mbps', '25_Mbps'}","['ticket', 'order']",31.0,725,19,3
M,Iowa,Burt,Kossuth,1120.0,"{'1_Gbps', '100_Mbps', '25_Mbps'}","['ticket', 'order']",5.0,466,65,2
M,Texas,Corpus Christi,Nueces,535.0,{'300_Mbps'},"['ticket', 'order']",5.0,225,41,1
M,Kentucky,Calvin,Bell,1450.0,{'1_Gbps'},"['ticket', 'order']",30.0,566,26,2
M,Alabama,Cherokee,Colbert,1780.0,{'500_Mbps'},"['ticket', 'order']",7.0,524,38,3
F,Texas,Doucette,Tyler,1100.0,{'100_Mbps'},['order'],0.0,0,68,3
F,Arkansas,Marked Tree,Poinsett,830.0,{'25_Mbps'},"['ticket', 'order']",72.0,561,46,3
F,Texas,Dallas,Dallas,110.0,{'25_Mbps'},None,0.0,0,46,0
F,South Carolina,Estill,Hampton,995.0,"{'1_Gbps', '200_Mbps', '100_Mbps'}","['ticket', 'order']",10.0,450,22,2
M,New York,Bombay,Franklin,290.0,"{'300_Mbps', '25_Mbps'}","['ticket', 'order']",19.0,120,24,1
M,Arkansas,Vandervoort,Polk,340.0,"{'100_Mbps', '500_Mbps', '25_Mbps'}","['ticket', 'order']",5.0,179,124,1
F,Texas,Houston,Harris,1775.0,{'1_Gbps'},['order'],0.0,780,72,3
F,Nebraska,Lincoln,Lancaster,525.0,"{'100_Mbps', '500_Mbps', '25_Mbps'}","['ticket', 'order']",13.0,420,23,2
F,Texas,Irving,Dallas,805.0,"{'200_Mbps', '500_Mbps', '25_Mbps'}","['ticket', 'order']",23.0,480,21,2
M,Alabama,Shorterville,Henry,1260.0,{'100_Mbps'},"['ticket', 'order']",10.0,825,55,3
F,North Carolina,Old Fort,McDowell,660.0,"{'300_Mbps', '25_Mbps'}","['ticket', 'order']",46.0,412,78,2
F,Pennsylvania,New Columbia,Union,445.0,"{'1_Gbps', '100_Mbps', '25_Mbps'}","['ticket', 'order']",24.0,196,26,1
M,Oklahoma,Shidler,Osage,1100.0,{'200_Mbps'},"['ticket', 'order']",20.0,451,40,2
M,Florida,Jacksonville,Duval,860.0,{'100_Mbps'},"['ticket', 'order']",33.0,539,22,2
F,Missouri,Rosendale,Andrew,940.0,"{'300_Mbps', '100_Mbps', '500_Mbps'}","['ticket', 'order']",54.0,570,22,2
F,Pennsylvania,Cochranville,Chester,1410.0,"{'1_Gbps', '200_Mbps', '25_Mbps'}","['ticket', 'order']",45.0,810,74,3
F,Georgia,Cherry Log,Gilmer,790.0,{'500_Mbps'},"['ticket', 'order']",14.0,345,51,2
M,New York,Ravena,Albany,985.0,"{'1_Gbps', '200_Mbps'}","['ticket', 'order']",56.0,453,56,2
M,Arkansas,Enola,Faulkner,760.0,"{'1_Gbps', '100_Mbps'}","['ticket', 'order']",31.0,426,23,2
F,Georgia,Hogansville,Troup,1515.0,"{'200_Mbps', '300_Mbps'}","['ticket', 'order']",37.0,841,64,3
M,Iowa,Rodney,Monona,120.0,{'100_Mbps'},None,0.0,0,57,0
F,South Carolina,Scotia,Hampton,260.0,{'100_Mbps'},"['ticket', 'order']",40.0,120,52,1
M,Pennsylvania,East Smethport,McKean,1070.0,{'300_Mbps'},"['ticket', 'order']",2.0,600,58,2
M,Kentucky,Bagdad,Shelby,920.0,{'200_Mbps'},"['ticket', 'order']",34.0,458,53,2
F,Nebraska,Wauneta,Chase,845.0,{'500_Mbps'},['order'],0.0,0,26,2
F,Pennsylvania,Melcroft,Fayette,770.0,{'25_Mbps'},"['ticket', 'order']",7.0,336,46,2
M,Pennsylvania,East Stroudsburg,Monroe,405.0,"{'200_Mbps', '300_Mbps', '25_Mbps'}","['ticket', 'order']",3.0,240,45,1
M,Pennsylvania,Belsano,Cambria,375.0,"{'200_Mbps', '25_Mbps'}","['ticket', 'order']",30.0,258,70,1
M,New York,Rochester,Monroe,880.0,"{'100_Mbps', '300_Mbps'}","['ticket', 'order']",18.0,385,53,2
M,Pennsylvania,Tyrone,Blair,1590.0,"{'1_Gbps', '200_Mbps', '300_Mbps'}","['ticket', 'order']",39.0,567,83,2
F,Texas,Jacksboro,Jack,630.0,"{'1_Gbps', '200_Mbps', '100_Mbps'}","['ticket', 'order']",30.0,300,69,1
F,Iowa,Grinnell,Poweshiek,970.0,{'300_Mbps'},"['ticket', 'order']",40.0,481,19,2
M,Missouri,Macomb,Wright,1070.0,{'25_Mbps'},"['ticket', 'order']",23.0,881,28,3
M,Kentucky,Somerset,Pulaski,770.0,{'300_Mbps'},"['ticket', 'order']",109.0,365,51,2
M,Missouri,Oak Ridge,Cape Girardeau,285.0,{'200_Mbps'},"['ticket', 'order']",23.0,120,22,1
M,Pennsylvania,Jim Thorpe,Carbon,685.0,{'1_Gbps'},"['ticket', 'order']",10.0,191,29,1
M,Texas,Houston,Harris,265.0,{'300_Mbps'},"['ticket', 'order']",25.0,66,56,1
F,Alabama,Smiths Station,Lee,1360.0,"{'1_Gbps', '500_Mbps'}","['ticket', 'order']",10.0,358,63,2
M,Arkansas,Clarkedale,Crittenden,1500.0,{'100_Mbps'},"['ticket', 'order']",15.0,300,66,3
F,Georgia,Wiley,Rabun,2150.0,"{'1_Gbps', '500_Mbps', '25_Mbps'}",['order'],0.0,1110,24,4
M,New York,Brooklyn,Kings,520.0,"{'1_Gbps', '100_Mbps'}",['order'],0.0,300,20,1
M,Florida,Crestview,Okaloosa,475.0,"{'1_Gbps', '100_Mbps', '300_Mbps'}","['ticket', 'order']",13.0,210,41,1
M,Oklahoma,Clinton,Custer,1475.0,"{'500_Mbps', '25_Mbps'}","['ticket', 'order']",37.0,960,53,4
M,Minnesota,Saint Stephen,Stearns,890.0,{'25_Mbps'},"['ticket', 'order']",35.0,840,41,3
F,Missouri,Lamar,Barton,365.0,{'200_Mbps'},['order'],0.0,0,34,1
F,Texas,Justin,Denton,185.0,{'500_Mbps'},"['ticket', 'order']",37.0,26,29,0
M,Georgia,Iron City,Seminole,490.0,{'300_Mbps'},"['ticket', 'order']",46.0,215,21,1
M,Texas,Dallas,Dallas,385.0,"{'200_Mbps', '500_Mbps'}","['ticket', 'order']",5.0,149,28,1
F,Ohio,Hollansburg,Darke,535.0,{'500_Mbps'},['order'],0.0,240,61,1
M,Ohio,Jerusalem,Monroe,1065.0,{'500_Mbps'},"['ticket', 'order']",29.0,83,21,2
M,New York,Bainbridge,Chenango,740.0,"{'1_Gbps', '200_Mbps', '500_Mbps'}","['ticket', 'order']",18.0,360,35,1
F,Texas,San Antonio,Bexar,735.0,{'500_Mbps'},"['ticket', 'order']",24.0,360,55,1
F,North Carolina,Hatteras,Dare,1420.0,{'100_Mbps'},"['ticket', 'order']",27.0,736,19,3
M,New York,Brooklyn,Kings,1395.0,{'500_Mbps'},"['ticket', 'order']",57.0,586,24,2
M,Pennsylvania,Harrisburg,Dauphin,560.0,"{'1_Gbps', '200_Mbps', '300_Mbps', '500_Mbps'}","['ticket', 'order']",17.0,240,33,1
M,Pennsylvania,Pittsburgh,Allegheny,1655.0,"{'1_Gbps', '25_Mbps'}","['ticket', 'order']",33.0,780,56,3
F,New York,Sag Harbor,Suffolk,745.0,{'1_Gbps'},"['ticket', 'order']",32.0,209,50,1
F,New Mexico,Las Cruces,Doña Ana,435.0,{'100_Mbps'},"['ticket', 'order']",6.0,44,75,1
M,New York,Canaseraga,Allegany,265.0,{'1_Gbps'},"['ticket', 'order']",9.0,57,40,1
M,Iowa,Des Moines,Polk,740.0,{'200_Mbps'},"['ticket', 'order']",13.0,329,106,2
F,Florida,Plant City,Hillsborough,1350.0,"{'200_Mbps', '100_Mbps', '500_Mbps'}","['ticket', 'order']",45.0,750,81,3
M,North Carolina,Clayton,Johnston,975.0,"{'1_Gbps', '500_Mbps'}","['ticket', 'order']",94.0,393,48,2
F,Florida,Cross City,Dixie,965.0,"{'1_Gbps', '100_Mbps', '25_Mbps'}",['order'],0.0,300,19,2
M,Texas,Channing,Hartley,1125.0,{'1_Gbps'},"['ticket', 'order']",37.0,366,27,2
F,Alabama,Silverhill,Baldwin,435.0,{'100_Mbps'},"['ticket', 'order']",31.0,255,73,1
M,Missouri,Saint Louis,St. Louis,1175.0,"{'300_Mbps', '500_Mbps'}","['ticket', 'order']",78.0,660,53,2
F,Texas,Fort Worth,Tarrant,385.0,"{'500_Mbps', '25_Mbps'}","['ticket', 'order']",28.0,240,40,1
F,New York,Black River,Jefferson,555.0,"{'200_Mbps', '100_Mbps'}","['ticket', 'order']",36.0,338,19,1
F,Texas,Sandia,Jim Wells,730.0,"{'300_Mbps', '500_Mbps', '25_Mbps'}","['ticket', 'order']",29.0,390,68,2
M,Nebraska,Otoe,Otoe,805.0,{'1_Gbps'},"['ticket', 'order']",5.0,292,54,1
M,Alabama,Rockford,Coosa,980.0,"{'300_Mbps', '25_Mbps'}",['order'],0.0,270,85,3
M,New York,Leicester,Livingston,535.0,{'500_Mbps'},"['ticket', 'order']",59.0,223,80,1
F,Texas,Muenster,Cooke,915.0,"{'200_Mbps', '100_Mbps', '500_Mbps'}",['order'],0.0,300,25,2
