gender,state,city,county,amount,plan,event_type,daystoresolve,event_date_gap,age,service
M,Iowa,Norway,Benton,185.0,{'500_Mbps'},['order'],0.0,0,25,1
F,Pennsylvania,Ludlow,McKean,1060.0,{'1_Gbps'},['order'],0.0,0,38,2
F,Minnesota,Bertha,Todd,1010.0,{'200_Mbps'},"['ticket', 'order']",4.0,512,36,2
F,Georgia,Blythe,Richmond,470.0,{'100_Mbps'},"['ticket', 'order']",5.0,300,52,1
F,Florida,Pensacola,Escambia,1525.0,"{'100_Mbps', '300_Mbps', '500_Mbps'}","['ticket', 'order']",16.0,810,19,3
F,Texas,Dallas,Dallas,665.0,"{'1_Gbps', '300_Mbps', '25_Mbps'}","['ticket', 'order']",15.0,360,20,1
F,New York,Addison,Steuben,970.0,"{'1_Gbps', '200_Mbps', '300_Mbps'}","['ticket', 'order']",11.0,540,36,2
F,Kentucky,Shelbyville,Shelby,1020.0,"{'300_Mbps', '500_Mbps', '25_Mbps'}","['ticket', 'order']",18.0,475,24,2
M,New York,Truxton,Cortland,2035.0,{'1_Gbps'},"['ticket', 'order']",34.0,800,27,3
M,Florida,Chokoloskee,Collier,1540.0,{'100_Mbps'},"['ticket', 'order']",79.0,976,25,3
F,Pennsylvania,Reedsville,Mifflin,1120.0,{'500_Mbps'},"['ticket', 'order']",36.0,482,60,2
M,Georgia,Vidalia,Toombs,930.0,"{'500_Mbps', '25_Mbps'}",['order'],0.0,630,66,2
M,Oklahoma,Owasso,Tulsa,185.0,{'25_Mbps'},"['ticket', 'order']",14.0,50,48,1
F,Ohio,Sherwood,Defiance,525.0,{'200_Mbps'},"['ticket', 'order']",26.0,228,24,1
M,Texas,Italy,Ellis,180.0,"{'1_Gbps', '100_Mbps'}",['order'],0.0,30,28,1
M,Georgia,Du Pont,Clinch,1170.0,"{'200_Mbps', '100_Mbps', '300_Mbps'}","['ticket', 'order']",33.0,552,35,2
F,Ohio,Columbus,Franklin,1055.0,{'200_Mbps'},"['ticket', 'order']",28.0,467,21,2
F,Iowa,Klemme,Hancock,900.0,"{'300_Mbps', '25_Mbps'}","['ticket', 'order']",4.0,330,32,2
F,New York,Wells Bridge,Otsego,285.0,{'200_Mbps'},"['ticket', 'order']",50.0,96,32,1
M,Ohio,Guysville,Athens,945.0,"{'1_Gbps', '200_Mbps', '100_Mbps'}","['ticket', 'order']",26.0,630,36,2
M,Oklahoma,Moffett,Sequoyah,1395.0,"{'1_Gbps', '25_Mbps'}","['ticket', 'order']",0.0,568,68,2
M,Kentucky,Brooks,Bullitt,1100.0,{'100_Mbps'},"['ticket', 'order']",3.0,780,28,3
F,Florida,Davenport,Polk,1985.0,"{'1_Gbps', '200_Mbps'}","['ticket', 'order']",11.0,660,78,3
M,Ohio,Vincent,Washington,740.0,{'100_Mbps'},"['ticket', 'order']",5.0,146,49,2
F,New York,Tuckahoe,Westchester,770.0,{'25_Mbps'},['order'],0.0,720,82,3
F,Texas,Sealy,Austin,850.0,"{'1_Gbps', '100_Mbps', '500_Mbps'}","['ticket', 'order']",26.0,258,40,2
